source,keyword_or_blog,title,url,date
rss,sunny-canva,"아이폰 사진 컴퓨터로 옮기기, PC 아이튠즈 iTunes 동기화 방법",https://blog.naver.com/sunny-canva/224319075672?fromRss=true&trackingCode=rss,2026-06-24
rss,sunny-canva,학습자료 얼굴 합성도안 캔바 매직 이레이저(magic eraser)로 쉽게 만들기,https://blog.naver.com/sunny-canva/224319074724?fromRss=true&trackingCode=rss,2026-06-23
rss,sunny-canva,"캔바 고수들은 이미 쓰는 챗GPT사용법, 작업시간 10배 단축",https://blog.naver.com/sunny-canva/224322557656?fromRss=true&trackingCode=rss,2026-06-22
rss,sunny-canva,"생일 합성도안 캔바 템플릿 나눔정보, 매직 그랩 (Magic Grab) 활용법",https://blog.naver.com/sunny-canva/224318078088?fromRss=true&trackingCode=rss,2026-06-19
rss,sunny-canva,"생일축하 파티 포토존 포스터 셀프 디자인 제작, 캔바 템플릿 무료 공유",https://blog.naver.com/sunny-canva/224318074203?fromRss=true&trackingCode=rss,2026-06-18
rss,sunny-canva,"기기변경 카카오톡 대화내용 백업 방법, 톡서랍 결제 불러오기",https://blog.naver.com/sunny-canva/224318070755?fromRss=true&trackingCode=rss,2026-06-17
rss,sunny-canva,스마트폰으로 PPT 프리젠터 사용 하는 방법 (캔바 프레젠테이션 넘기기),https://blog.naver.com/sunny-canva/224316661256?fromRss=true&trackingCode=rss,2026-06-16
rss,sunny-canva,방문 없이 모바일 신분증 주민등록증 운전면허증 발급 방법,https://blog.naver.com/sunny-canva/224309848891?fromRss=true&trackingCode=rss,2026-06-15
rss,sunny-canva,"무료동영상편집프로그램 대체 가능한 캔바 기능, 편집하는 방법",https://blog.naver.com/sunny-canva/224305089947?fromRss=true&trackingCode=rss,2026-06-13
rss,sunny-canva,"유튜브 음원 추출방법, MP3 변환 사이트 꿀팁 공유",https://blog.naver.com/sunny-canva/224305088083?fromRss=true&trackingCode=rss,2026-06-12
rss,sunny-canva,"캔바로 만든 PDF 편집기, 진짜 책처럼! 플립북 만드는 방법",https://blog.naver.com/sunny-canva/224305087259?fromRss=true&trackingCode=rss,2026-06-11
rss,sunny-canva,DIY액자 캔바 프레임 제작 사진틀 만들기 (framespark 요소 기능),https://blog.naver.com/sunny-canva/224309850216?fromRss=true&trackingCode=rss,2026-06-11
rss,sunny-canva,[조기마감]7일 완주하면 100% 환급 써니쌤 캔바 초급반 챌린지 37기 모집,https://blog.naver.com/sunny-canva/224310959569?fromRss=true&trackingCode=rss,2026-06-10
rss,sunny-canva,캔바 테두리 스티커 효과 아웃라인 만들기 (f.얼굴 합성도안),https://blog.naver.com/sunny-canva/224305086237?fromRss=true&trackingCode=rss,2026-06-10
rss,sunny-canva,초보도 가능한 EZGIF 동영상 GIF 변환 만들기,https://blog.naver.com/sunny-canva/224305085514?fromRss=true&trackingCode=rss,2026-06-09
rss,sunny-canva,"핸드폰 사진 용량 줄이기 3가지 방법(카톡 나에게 보내기, 사이트, 캔바)",https://blog.naver.com/sunny-canva/224305084549?fromRss=true&trackingCode=rss,2026-06-08
rss,sunny-canva,"환경구성 사진판 템플릿, 놀이이야기 캔바 CANVA 45종 무료 공유 안내",https://blog.naver.com/sunny-canva/224304263159?fromRss=true&trackingCode=rss,2026-06-06
rss,sunny-canva,"캔바 이미지 라인아트 기능, 컬러링북 색칠공부 책 만들기",https://blog.naver.com/sunny-canva/224304261783?fromRss=true&trackingCode=rss,2026-06-05
rss,sunny-canva,구글 크롬 유튜브 검색기록삭제 방법과 기록끄기,https://blog.naver.com/sunny-canva/224304260750?fromRss=true&trackingCode=rss,2026-06-04
rss,sunny-canva,캔바 AI 강의 포스터 약속판 협동화 인생네컷 라벨지 만드는 법(f. 어린이집 유치원 영유아교사 대상),https://blog.naver.com/sunny-canva/224304258376?fromRss=true&trackingCode=rss,2026-06-03
rss,sunny-canva,움짤만들기 캔바로 동영상 변환 간편하게 GIF 만드는 법,https://blog.naver.com/sunny-canva/224298675900?fromRss=true&trackingCode=rss,2026-06-02
